#	h	b	tw	tf	r	u	A	P	Iy	Wy	Wpl,y	iy	Iz	Wz	Wpl,z	iz
#	mm	mm	mm	mm	mm	mm	cm2	kg/m	cm4	cm3	cm3	cm	cm4	cm3	cm3	cm
HEB-300	300	300	11	19	27	1732	149.1	117	25166	1680	1868	13	8563	571	870.1	7.58
HEB-320	320	300	11.5	20.5	27	1771	161.3	127	30823	1930	2140	13.8	9239	616	939.1	7.57
HEB-340	340	300	12	21.5	27	1810	170.9	134	36656	2160	2400	14.6	9690	646	985.7	7.53
HEB-360	360	300	12.5	22.5	27	1849	180.6	142	43193	2400	2680	15.5	10140	676	1032	7.49
HEB-400	400	300	13.5	24	27	1927	197.8	155	57680	2880	3240	17.1	10819	721	1104	7.4
HEB-450	450	300	14	26	27	2026	218	171	79887	3550	3980	19.1	11721	781	1198	7.33
HEB-500	500	300	14.5	28	27	2125	238.6	187	107176	4290	4820	21.2	12624	842	1292	7.27
HEB-550	550	300	15	29	27	2224	254.1	199	136691	4970	5600	23.2	13077	872	1341	7.17
HEB-600	600	300	15.5	30	27	2323	270	212	171041	5700	6420	25.2	13530	902	1391	7.08
HEA-100	96	100	5	8	12	561	21.2	16.7	349	72.8	83	4.06	134	26.8	41.44	2.51
HEA-120	114	120	5	8	12	677	25.3	19.9	606	106	119.4	4.89	231	38.5	58.85	3.02
HEA-140	133	140	5.5	8.5	12	794	31.4	24.7	1030	155	173.4	5.73	389	55.6	84.85	3.52
HEA-160	152	160	6	9	15	906	38.8	30.4	1670	220	246	6.57	616	76.9	117.6	3.98
HEA-180	171	180	6	9.5	15	1024	45.3	35.5	2510	294	324	7.45	925	103	156.5	4.52
HEA-200	190	200	6.5	10	18	1136	53.8	42.3	3690	389	430	8.28	1340	134	203.8	4.98
HEA-220	210	220	7	11	18	1255	64.3	50.5	5410	515	568	9.17	1950	178	270.6	5.51
HEA-240	230	240	7.5	12	21	1369	76.8	60.3	7760	675	744	10.11	2770	231	351.7	6
HEA-260	250	260	7.5	12.5	24	1484	86.8	68.2	10450	836	920	11	3670	282	430.2	6.5
HEA-280	270	280	8	13	24	1603	97.3	76.4	13670	1010	1112	11.9	4760	340	518.1	7
HEA-300	290	300	8.5	14	27	1717	112.5	88.3	18260	1260	1384	12.7	6310	421	641.2	7.47
HEA-320	310	300	9	15.5	27	1756	124.4	97.6	22930	1480	1628	13.6	6990	466	709.7	7.51
HEA-340	330	300	9.5	16.5	27	1795	133.5	105	27690	1680	1850	14.4	7440	496	755.9	7.46
HEA-360	350	300	10	17.5	27	1834	142.8	112	33090	1890	2080	15.2	7890	526	802.3	7.43
HEA-400	390	300	11	19	27	1912	159	125	45070	2310	2560	16.8	8560	571	872.9	7.34
HEA-450	440	300	11.5	21	27	2011	178	140	63720	2900	3220	18.9	9470	631	965.6	7.29
HEA-500	490	300	12	23	27	2110	197.5	155	86970	3550	3940	21	10370	691	1059	7.24
HEA-550	540	300	12.5	24	27	2209	211.8	166	111900	4150	4620	23	10820	721	1107	7.15
HEA-600	590	300	13	25	27	2308	226.5	178	141200	4790	5360	25	11270	751	1156	7.05
HEM-100	120	106	12	20	12	619	53.24	41.8	1143	190.4	235.8	4.63	399.2	75.31	116.3	2.74
HEM-120	140	126	12.5	21	12	738	66.41	52.1	2018	288.2	350.6	5.51	702.8	111.6	171.6	3.25
HEM-140	160	146	13	22	12	857	80.56	63.2	3291	411.4	493.8	6.39	1144	156.8	240.5	3.77
HEM-160	180	166	14	23	15	970	97.05	76.2	5098	566.5	674.6	7.25	1759	211.9	325.5	4.26
HEM-180	200	186	14.5	24	15	1089	113.3	88.9	7483	748.3	883.4	8.13	2580	277.4	425.2	4.77
